# STATION NETWORK LAT LON
BLY MN 44.748800 17.183900
KOGS SL 46.448101 16.250401
MOZS SL 46.294102 14.443300
PERS SL 46.636501 15.113900
MOSL CR 45.613500 16.754400
OZLJ CR 45.615270 15.467266
KOGS SL 46.448100 16.250400
MOZS SL 46.294100 14.443300
PERS SL 46.636500 15.113900
BLY MN 44.748800 17.183900
