# STATION NETWORK LAT LON
BLY MN 44.748800 17.183900
CEY SL 45.738098 14.422100
MOZS SL 46.294102 14.443300
PERS SL 46.636501 15.113900
BRJN CR 44.905935 13.750528
HVAR CR 43.177600 16.448800
MORI CR 43.866017 15.707297
MOSL CR 45.613500 16.754400
OZLJ CR 45.615270 15.467266
CEY SL 45.738100 14.422100
MOZS SL 46.294100 14.443300
PERS SL 46.636500 15.113900
BLY MN 44.748800 17.183900
A262A Z3 46.864238 16.527617
A273A Z3 45.916386 17.815970
